fecha_presentacion,proyecto_ley,id,proponente,cargo,comision,estado,texto_proyecto_ley_pdf_presente,texto_proyecto_ley,texto_1debate_pdf_presente,texto_1debate,texto_2debate_pdf_presente,texto_2debate,texto_aprobado_pleno_pdf_presente,texto_aprobado_pleno,objecion_parcial_pdf_presente,objecion_parcial,objecion_total_pdf_presente,objecion_total,texto_definitivo_pleno_pdf_presente,texto_definitivo_pleno,registro_oficial_pdf_presente,registro_oficial,termino_legislativo,matched_name,matching_score,coalition,party_2
3/5/24,Proyecto de Ley Orgánica de Inteligencia,AN-2024-2776,alarcon bueno ines margarita,ASAMBLEÍSTA/S,"Comisión de Soberanía, Integración y Seguridad Integral",En trámite / Revisión en Comisión para Primer Debate,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/57da6184-de52-42d8-bf6c-8bcb3327d0ca/PP-PRO~1.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3ede42ee-b589-431f-a2ef-55d5f02e310b/inf-1d-judicial-432578-paz_compressed.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/4a5eb38c-d588-46fc-a48d-152d67dac335/2d%20-%20informe%20comision.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/99e8c987-c076-4589-917a-1b9b2cd8501a/ap-%20proyecto%20al%20Ejecutivo.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/cd120ddf-662e-4da8-a448-2995f13bb72e/objecion%20total%20-%20anexos_449203_merged.pdf,0,,0,,5,,,,ADN
11/29/23,PROYECTO DE LEY ORGANICA DE DEFENSA CONTRA INCENDIOS,AN-2023-2680,vega quezada cristhian,ASAMBLEÍSTA/S,Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio,Archivado / Registro de Objeción Total,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3905ae3f-1c2b-42cc-87c1-5d7be52a7a7d/pp%20PROYECTO%20DE%20LEY%20ORGANICA%20DE%20DEFENSA%20CONTRA%20INCENDIOS-2-25.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/61ef7906-597a-4d17-8535-c12c3b2b4c99/1d%20-%20informe%20comision.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3d7b9ccd-7c9e-4f60-aadb-11b1defb6897/2d-%20informe%20comision.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/77dc0119-2adc-422b-97a1-e6282220bdb7/ap%20-%20texto%20aprobado%20para%20objecion.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/51f3d337-ff6a-4dc9-aa21-9c8565371b90/objecion%20total.pdf,0,,0,,5,,,,RC
1/27/22,"Proyecto de Ley Orgánica de Seguridad Integral y Fortalecimiento de la
Fuerza Pública ",AN-2022-2219,lasso mendoza guillermo,PRESIDENTE DE LA REPÚBLICA DEL ECUADOR,"Comisión de Soberanía, Integración y Seguridad Integral",Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/71c1a6a8-cac5-4dbd-b7b8-93d2fa20ca23/pp-seg-int-414718-lasso.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/f7380d4d-8776-490a-90d3-88d8c1301291/inf-1d-fort-cap-inst-AN-CSIS-2022-0393-M.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/566c3372-5bf9-4735-bc9b-a282e325c776/inf-2d-Memorando%20Nro.%20AN-CSIS-2022-0842-M.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/a4f57e75-eb8f-42eb-b9cb-e53dfb047541/pan-sejv-2023-0050195234001673619215.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/bced1e41-4f45-4b57-8441-999e10c0c3a9/432467-lasso_compressed.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/c0ade649-e7f1-4db7-92f1-412dcfdc83ca/oficio_no._pan-sejv-2023-050.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3e358a95-7279-4bb4-b214-cf42c8dd4e6c/ro-279-supl-de-29-03-2023.pdf,4,,,,
6/28/21,Proyecto de Ley Orgánica para Garantizar el Derecho a la Interrupción Voluntaria del Embarazo en caso de Violación,AN-2021-2056,rovira jurado zaida elizabeth,DEFENSORA DEL PUEBLO (SUBROGANTE),Comisión de Justicia y Estructura del Estado,Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/5654476a-8247-41d7-8e45-99c0ca118190/pp-ref-apo-hum-vdesintonio.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/4383660f-9a47-41dc-900c-3c971cf28b4b/inf.15_nov_21-loah_(1)-signed-signed-signed-signed-signed-signed.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/2ea4bd95-cc0a-48c2-98c6-6f7b1cd02275/inf-2d-416651-jerves_compressed%20(3).pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/df6f66ad-e6d7-43e8-94e7-c8410659d214/ley_org%E1nica_derogatoria_a_diversas_leyes_(apoyo_humanitrio_-_covid-19)_recibido.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/b66ef445-e438-4a85-9f5f-bc4200b9aa8b/ot-422772-lasso.pdf,0,,0,,4,,,,
5/25/21,Proyecto de Ley Orgánica de Libre Expresión y Comunicación,AN-2021-2051,lasso mendoza guillermo,PRESIDENTE DE LA REPÚBLICA DEL ECUADOR,Comisión de Relaciones Internacionales y Movilidad Humana,Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/d034df6f-af29-4489-a91c-1c9727c3c2bd/pp-lib-exp-25-05-2021-403631-lasso.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/bcdf3d99-9cc8-43e1-b4c5-ab91c83dae81/1d-informe_pd_ley_de_comunicaci%D3n_-_1er_debate_(2)-signed-signed_firmado-signed-signed_(1)-signed.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/fe64d128-9fdc-46e9-8486-a329b48e3ec8/inf-2d-forme_sd_-_ley_libre_expresi%F3n_(comunicaci%F3n)_(1)-signed-signed_firmado-signed-signed-signed.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/ac5ed2c8-4fc6-4321-8324-7dc7c6fa7bf8/proyecto_ley_org%C1nica_reformatoria_ley_de_comunicaci%D3n.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/f97a9290-ddcb-4e99-a708-bddcfa5ab4b1/424358-lasso_compressed.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/48ba78e3-3bfd-4348-b3eb-2432c9c765d9/oficio_no._pan-sejv-2022-043.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/309a2491-a498-4f77-8fbf-bcca4ded3184/ro-188-2s-14-11-2022_comp.pdf,4,,,,
3/3/21,"
Proyecto de Ley Orgánica sobre el Derecho al Cuidado en el Ambito Laboral para Mujeres o Personas con Capacidad Reproductiva que se Encuentren en Período de Embarazo, Parto y Puerperio, y Lactancia  o Cuidado",AN-2021-1998,rovira jurado zaida elizabeth,DEFENSORA DEL PUEBLO (SUBROGANTE),Comisión del Derecho al Trabajo y a la Seguridad Social,Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/18f21183-9570-4c5e-b165-54f3c4043319/pp-spalacios-Memorando%20Nro.%20AN-PR-2021-0051-M.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/03b8a11c-ebd0-41c1-84a9-f253631f4dd7/INFORME%20PARA%20PRIMER%20DEBATE.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/4c540eb0-2f1f-4baa-8211-d1ca1f03e363/2D%20-%20INFORME%20COMISION.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3fb1b7e9-cb9f-4531-86a2-f4fb47f1356a/ap%20-%20texto%20aprobado%20para%20objecion.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/246b4ab0-ecaf-4d12-a27f-912cad118504/objecion%20total.pdf,0,,0,,3,,,,
9/20/18,Proyecto de Ley Orgánica de Actuación Integral en Casos de Personas Desaparecidas,AN-2018-1398,perez reina edwin paul,FISCAL GENERAL DEL ESTADO,Comisión Ocasional para Atender los Casos de Personas Desaparecidas,Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/92668684-027c-4887-888c-d33e3d98eee6/Proyecto%20de%20Ley%20Org%E1nica%20de%20Actuaci%F3n%20Integral%20en%20Casos%20de%20Personas%20Desaparecidas%20Tr.%20340675.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/97afbf81-9ab5-4bd7-a255-4aa177d5fd1c/Informe%20Primer%20Debate%20Tr.%20362616.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/26d3ae51-5b2f-45ce-9df9-6db8b0c5edfb/Informe%20Segundo%20Debate%20Tr.%20378415.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/d1f9a035-e72f-4d63-9881-5f5375922300/Texto%20Aprobado%20en%20el%20Pleno%20de%20la%20Asamblea%20-%20Enviado%20a%20Presidencia.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/0091cc2b-fe78-4360-9563-69a836e01e41/Objeci%F3n%20Parcial%20Presidencia%20de%20la%20Rep%FAblica%20Tr.%20387125.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/0a41406b-fc4a-448c-9968-204248a3e09f/Desaparecidos%20TextoFinal.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/a98c142a-dfba-4a72-a304-d8c09aa72e3b/2020-01-28-SRO130_20200128.pdf,3,,,,
12/20/17,Proyecto de Ley de Extinción de Dominio,AN-2021-2026,baca mancheno carlos bladimir,FISCAL GENERAL DEL ESTADO,"Comisión de Transparencia, Participación Ciudadana y Control Social",Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/c276ac8e-f30b-4857-90c1-a6746131d0b9/pp%20Ley%20Org%E1nica%20de%20Extinci%F3n%20de%20Dominio%20(Fiscal-cvaca-20-12-2017).pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/6cbb29e6-f0b4-4be4-9ae7-d2d3597a7ea4/uni-sd.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/0c7df662-b559-41fc-8420-fd18e185acde/Informe%20para%20Segundo%20Debate%20del%20Proyecto%20de%20Ley%20Org%E1nica%20de%20Extinc%F3n%20de%20Dominio.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/4b04f81c-aa16-4cf4-bab5-7ccb3a821f1f/Proyecto%20de%20Ley%20de%20Extinci%F3n%20de%20Dominio.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/c1184253-4981-43e0-9a93-6c53a8be6029/401550-moreno_compressed.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/9b4274cf-a828-4eaf-9db6-716b33a1718b/ley_de_extincio%01n_de_dominio.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/18b3248a-ee42-405e-82f4-b17d8484430d/ro-452-5to-sup-14-05-2021-.pdf,3,,,,
9/26/17,Proyecto Reforma a la Ley Orgánica de Gestión de la Identidad y Datos Civiles en el Marco del Libre Desarrollo de la Personalidad,AN-2017-1088,rodriguez zamnbrano  diane marie,ASAMBLEÍSTA/S,"Comisión de Garantías Constitucionales, Derechos Humanos, Derechos Colectivos y la Interculturalidad",Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/d253733b-604f-4f7d-aad0-05036307e76b/Proyecto%20Reforma%20a%20la%20Ley%20Org%E1nica%20de%20Gesti%F3n%20de%20la%20Identidad%20y%20Datos%20Civiles%20en%20el%20Marco%20del%20Libre%20Desarrollo%20de%20la%20Personalidad%20Tr.%20300770.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/26eaff3a-ec10-4c45-9ebd-de0567351a36/inf-1d-gest-ident-AN-CGDI-2022-0264-M.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/8523f1d2-842a-4d86-8669-640b4e089a03/INFORME%20PARA%20SEGUNDO%20DEBATE.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/77f8bd87-8817-4c36-8f5e-8435b2317eec/ap-proyecto%20datos%20civiles.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/fc99ca41-8238-4255-811c-3cdce44abe87/OP-PRO~1.PDF,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/78104354-83a3-4747-800e-f04be917716d/INFORM~2.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/8547cb06-96d0-4f31-bda9-1f8c23850d3e/REGIST~1.PDF,3,,,,RC
9/16/16,Proyecto de Ley Orgánica Reformatoria al Código Orgánico de la Función Judicial,AN-2016-887,pazmino granizo ernesto willimper,DEFENSOR PUBLICO GENERAL DEL ESTADO,Comisión de Justicia y Estructura del Estado,Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/c6792c88-3d94-4636-926a-f7e0576328ea/Proyecto%20de%20Ley%20Org%E1nica%20Reformatoria%20al%20C%F3digo%20Org%E1nico%20de%20la%20Funci%F3n%20Judicial%20Tr.%20261280.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/0b35f142-a804-4ba2-bb9f-7002be48e9e7/Informe%20Primer%20Debate%20Tr.%20325209.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/a2e9cfbb-7508-48a2-8a7c-298e5fdf27be/Informe%20Segudo%20Debate%20Tr.%20336076.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/a3864bf3-0e26-4e9f-afc4-c7500ef0b790/COFJ.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/e8c01c2d-5655-4442-a907-2ad17af5cb56/op-400380-moreno-06-11-2020.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/ab67057c-b4e7-4c88-b22a-b612906db91e/LOFJu-signed-signed.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/4af48000-5121-4106-9f17-8027e6495438/SRO345_20201208.pdf,2,,,,
4/5/13,Proyecto de Ley para la Presentación y Control de las Declaraciones Patrimoniales Juradas,AN-2014-128,fabian jaramillo palacios,PRESIDENTE DE LA FUNCIÓN DE TRANSPARENCIA Y CONTROL SOCIAL,"Comisión de Transparencia, Participación Ciudadana y Control Social",Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/886a253c-7fcb-49f3-b02c-d4cd19f08569/Proyecto%20de%20Ley%20para%20la%20Presentaci%F3n%20y%20Control%20de%20las%20Declaraciones%20Patrimoniales%20Juradas%20Tr.%20133542.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/7d370106-3681-470a-b5c8-ace99c8f63d2/Informe%20Primer%20Debate%20Tr.%20234132.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/596bf857-878c-464d-8977-2ab93392adb4/Informe%20Segundo%20Debate%20Tr.%20237522.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/c4f4dc23-9d02-44d4-bea3-ff52866acacc/Texto%20Aprobado%20en%20el%20Pleno%20de%20la%20Asamblea%20-%20Enviado%20a%20Presidencia.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/52a6b423-94cb-4c90-83c4-c00bf33f0938/Objeci%F3n%20Parcial%20Presidente%20de%20la%20Rep%FAblica%20Tr.%20240730.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/6b878fd3-ffca-4700-bb03-525df63f96fa/Texto%20Definitivo.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/430c7e6b-c51e-4a41-a8f0-2dab62761747/Registro%20Oficial%20N%B0%20729.%20Ley%20para%20la%20Presentaci%F3n%20y%20Control%20de%20las%20Declaraciones%20Patrimoniales%20Juradas.pdf,1,,,,
7/18/12,Proyecto de Ley Orgánica Reformatoria del Código Orgánico de la Función Judicial y del Código de Procedimiento Penal,AN-2014-265,ramirez romero carlos miguel,PRESIDENTE DE LA CORTE NACIONAL DE JUSTICIA,Comisión de Justicia y Estructura del Estado,Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/02db4435-8c85-4286-8aa7-dccf8d0c0bf2/Proyecto%20de%20Ley%20Org%E1nica%20Reformatoria%20del%20C%F3digo%20Org%E1nico%20de%20la%20Funci%F3n%20Judicial%20y%20del%20C%F3digo%20de%20Procedimiento%20Penal%20Tr.%20111135.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/ec8d97b1-9a67-488a-a0dd-b8019ae8e3b7/Informe%20Primer%20Debate%20Tr.%20126831.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/2dca4738-7497-4af2-b460-a1d53c8ad352/Informe%20Segundo%20Debate%20Tr.%20132480.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/e6e00797-27ac-495f-ab8c-a81a4a6b46d3/Texto%20Aprobado%20en%20el%20Pleno%20de%20la%20Asamblea%20-%20Enviado%20a%20Presidencia.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/b0e4fd3b-9a9d-4428-a955-a2b5504c8267/Objeci%F3n%20Parcial%20Presidente%20de%20la%20Rep%FAblica%20%20Tr.%20143030.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/f26c32a1-4bc9-44af-9c08-b3a66c849a9f/Texto%20Definitivo.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/46410d4a-72ee-49c5-8e87-4da01a5898d5/Registro%20Oficial%20No.38%20LEY%20REFORMATORIA%20C%D3DIGO%20FUNCI%D3N%20JUDICIAL.pdf,1,,,,
7/11/12,Proyecto de Ley del Sistema Nacional Descentralizado de Gestión de Riesgos,AN-2014-257,molina crespo maria elizabeth,ASAMBLEÍSTA/S,Comisión de Biodiversidad y Recursos Naturales,Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/84245b14-2566-4acb-876d-07cb9949d23a/Proyecto%20de%20Ley%20del%20Sistema%20Nacional%20Descentralizado%20de%20Gesti%F3n%20de%20Riesgos%20Tr.%20110405.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/62f9c92e-098e-4dae-af9a-66793c250bce/Informe%20Primer%20Debate%20Tr.%20128854.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/a35d00fe-7214-4497-8eec-6e7bdb89f28d/Informe%20Segundo%20Debate%20Tr.%20135907.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/519332a5-a2e6-43b3-b80d-dcb603d1c83a/AP-LEY~1.PDF,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/7a167866-d067-47e7-b61c-0eeb8a4a6843/op-proyecto%20del%20riesgo%20de%20desastres_compressed.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/6dedcdc3-21f0-41d3-b7c3-2cd2547b4922/inf%20no%20vinc%20objecion%20parcial.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3db203f4-1050-4f8f-85c2-c5706f008dc2/RO%20-%20ley%20del%20riesgo%20de%20desastres.pdf,1,,,,ID
6/5/12,"Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Transporte Terrestre, Tránsito y Seguridad Vial",AN-2014-217,murillo ilbay marco ramiro,ASAMBLEÍSTA/S,"Comisión de Desarrollo Económico, Productivo y la Microempresa",Publicado /,1,"https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/c747897e-0fbc-44f3-8bdc-84142729a0f0/Proyecto%20de%20Ley%20Org%E1nica%20Reformatoria%20a%20la%20Ley%20Org%E1nica%20de%20Transporte%20Terrestre,%20Tr%E1nsito%20y%20Seguridad%20Vial-Tr.%20105931.pdf",1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/b3f042e1-9259-4d4c-83a6-a9ab0193966e/Informe%20Primer%20Debate%20Tr.%2093836.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/0eabc433-0795-496d-929c-e25b489d7d12/Informe%20Segundo%20Debate%20Tr.%20130384.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/b914ce80-86f2-43ec-92c3-6ae675965717/Texto%20Aprobado%20en%20el%20Pleno%20de%20la%20Asamblea%20-%20Enviado%20a%20Presidencia.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/d3299d40-2f80-46d3-84df-787bb52484b5/Objeci%F3n%20Parcial%20Presidente%20de%20la%20Rep%FAblica%20Tr.%20199504.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/4dc63a7f-ce19-42af-a2b5-031b95f82c8c/Texto%20Definitivo.pdf,1,"https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/f992ccfe-a246-4bb6-8b33-8a9b31d06a03/Registro%20Oficial%20N%B0%20407%20Ley%20Org%E1nica%20Reformatoria%20a%20la%20Ley%20Org%E1nica%20de%20Transporte%20Terrestre,%20Tr%E1nsito%20y%20Seguridad%20Vial.pdf",1,,,Alianza Libertad,Amauta Yuyai
5/23/12,Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica del Sistema Nacional de Contratación Pública,AN-2014-287,escala zambrano jorge elias,ASAMBLEÍSTA/S,Comisión de Gobiernos Autónomos Descentralización Competencias y Organización Territorio,Publicado /,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/5a661a99-3836-4d24-86db-8ce192351c0e/Proyecto%20de%20Ley%20Org%E1nica%20Reformatoria%20a%20la%20Ley%20Org%E1nica%20del%20Sistema%20Nacional%20de%20Contrataci%F3n%20P%FAblica-Tr.%20104684.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/911e122a-18b3-47d6-814c-bda8fbd14d56/Informe%20Primer%20Debate%20Tr.%2080118.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/847ca89d-2b73-436d-a1bb-c2a13a00b021/Informe%20Segundo%20Debate%20Tr.%2092544.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/117d165d-be49-479d-a84b-3fdd503f49c1/Texto%20Aprobado%20en%20el%20Pleno%20de%20la%20Asamblea%20-%20Enviado%20a%20Presidencia.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/d9771484-9310-43d6-bcaa-c2253d52d347/Objeci%F3n%20Parcial%20Presidencia%20Tr.%20150456.pdf,0,,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/efad2b02-3ada-48ea-9a7b-825ceaf28a60/Texto%20Definitivo.pdf,1,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/8a138ac7-603f-4969-90db-12dd6f4c7899/REGISTRO%20OFICIAL-%20Ley%20Org%E1nica%20Reformatoria%20a%20la%20Ley%20Org%E1nica%20del%20Sistema%20Nacional%20de%20Contrataci%F3n%20P%FAblica.pdf,1,,,,MPD
